Date;Open;High;Low;Close
2003-10-23;92,5;92,79;91,93;92,79
2003-10-24;92,34;92,48;92,01;92,23
2003-10-27;92,43;92,7;92,26;92,38
2003-10-28;92,6;92,6;92;92,59
2003-10-29;92,95;92,99;92,54;92,9
2003-10-30;92,61;92,61;92,11;92,38
2003-10-31;92,4;93,51;92,4;93,51
2003-11-03;93,6;93,98;93,01;93,13
2003-11-04;93,05;93,29;92,88;93,05
2003-11-05;92,81;92,93;92,6;92,75
2003-11-06;92,9;93,09;92,28;92,95
2003-11-07;93;93,8;93;93,65
2003-11-10;93,65;93,7;93;93
2003-11-11;92,95;93;92,49;92,8
2003-11-12;92,81;93,85;92,81;93,85
2003-11-13;93,95;94,64;93,95;94,61
2003-11-14;94,75;95,18;94,37;94,72
2003-11-17;94,4;94,4;93,16;93,5
2003-11-18;93,82;93,89;93,6;93,63
2003-11-19;93,5;93,87;93,5;93,87
2003-11-20;93,42;94,15;93,38;93,5
2003-11-21;93,75;93,79;93,2;93,3
2003-11-24;93,6;93,74;93,29;93,65
2003-11-25;93,8;94,49;93,8;94,49
2003-11-26;94,9;95,35;94,66;95,3
2003-11-28;95,37;95,52;95,3;95,52
2003-12-01;96;96,8;95,9;96,8
2003-12-02;96,8;97,61;96,59;97,44
2003-12-03;97,6;97,87;97,17;97,44
2003-12-04;97,5;99,07;97,3;99,07
2003-12-05;99,07;99,46;98,81;99,39
2003-12-08;99,59;100,64;99,4;100,64
2003-12-09;101,29;101,29;100,42;100,61
2003-12-10;100,54;100,54;99,43;99,81
2003-12-11;99,65;100,53;99,24;100,49
2003-12-12;100,7;101,53;100,65;101,53
2003-12-15;101,17;101,17;100,04;100,27
2003-12-16;100,6;100,95;100,6;100,95
2003-12-17;101,05;102,15;100,95;102,15
2003-12-18;102,5;104,86;102,49;104,6
2003-12-19;104,8;104,8;104;104,4
2003-12-22;104,6;104,81;104,42;104,78
2003-12-23;104,9;104,98;103,76;104,44
2003-12-24;104,5;105,44;104,49;105,27
2003-12-26;105,3;105,84;105,3;105,83
2003-12-29;105,95;107,31;105,95;107,25
2003-12-30;107,4;107,84;107,3;107,32
2003-12-31;107,95;108;106,75;106,81
2004-01-02;107,45;107,7;106,85;107,01
2004-01-05;108;109,2;108;109,2
2004-01-06;109,45;109,48;108,6;108,95
2004-01-07;108,35;108,35;107,05;107,45
2004-01-08;107,48;108,03;106,84;107,99
2004-01-09;106,59;108,21;106,28;107,7
2004-01-12;107,9;107,9;107,21;107,5
2004-01-13;107,9;108,18;107,01;107,01
2004-01-14;107;107;106,02;106,55
2004-01-15;107,1;107,15;105;105,04
2004-01-16;104,75;105,44;104,47;105,44
2004-01-20;106,6;108,11;106,36;107,95
2004-01-21;108;108,81;107,9;108,63
2004-01-22;108,9;108,9;107,76;108,04
2004-01-23;108,2;108,66;107,62;107,84
2004-01-26;107,8;108,32;107,32;108,32
2004-01-27;108,5;108,76;108,01;108,2
2004-01-28;108;108,3;106,09;106,45
2004-01-29;106,7;106,7;104,55;105,07
2004-01-30;105,1;105,1;104,34;104,98
2004-02-02;104,8;105,6;104,09;105,07
2004-02-03;105,2;105,47;104,7;105,32
2004-02-04;105,05;105,05;103,87;103,99
2004-02-05;103,9;104,21;103,14;103,63
2004-02-06;103,95;104,69;103,56;104,62
2004-02-09;105,81;106,42;105,81;106,14
2004-02-10;106,35;107,4;106,1;107,24
2004-02-11;107,3;108,92;107,1;108,7
2004-02-12;108,7;109,31;108,45;108,8
2004-02-13;109;109;107,95;108,43
2004-02-17;109,4;109,78;109,37;109,72
2004-02-18;109,9;109,9;108,07;108,07
2004-02-19;108,75;109,12;108,16;108,65
2004-02-20;108,95;108,95;107,21;108,06
2004-02-23;108,35;108,46;108,01;108,23
2004-02-24;108,09;109,13;108,09;108,87
2004-02-25;108,87;109,38;108,74;109,35
2004-02-26;109,4;110,14;109;110
2004-02-27;110,25;110,99;110;110,81
2004-03-01;111,35;113,13;111,35;113,05
2004-03-02;113,05;113,12;111,72;111,84
2004-03-03;111,4;111,84;110,52;111,72
2004-03-04;111,55;111,73;111;111,5
2004-03-05;112,1;113;112,1;112,78
2004-03-08;113,45;113,58;112,47;112,47
2004-03-09;112,3;112,45;111,19;111,66
2004-03-10;111,65;111,65;108,9;109
2004-03-11;108,51;109,29;107,39;107,5
2004-03-12;107,97;109,07;107,7;109,07
2004-03-15;109,05;109,4;108,35;108,49
2004-03-16;109,15;109,16;107,85;108,66
2004-03-17;109,2;110,38;108,87;110,35
2004-03-18;110,65;111,15;110,18;110,87
2004-03-19;111;111,12;109,63;109,63
2004-03-22;109,24;109,24;108,05;108,26
2004-03-23;108,69;108,69;106,97;107,86
2004-03-24;107,5;107,61;105,48;105,59
2004-03-25;106;106,25;105,66;106,25
2004-03-26;106,8;107,85;106,63;107,18
2004-03-29;107,77;108,3;107,77;107,95
2004-03-30;108,36;110,28;108,36;110
2004-03-31;110,6;110,67;109,4;110,49
2004-04-01;110,8;110,91;109,43;109,78
2004-04-02;110,08;110,68;109,8;110,68
2004-04-05;110,81;110,99;110,34;110,99
2004-04-06;111,29;111,4;110,62;111,1
2004-04-07;110,84;111,28;110,25;111,04
2004-04-08;111,48;111,56;110,71;111,17
2004-04-12;111,75;112,8;111,75;112,69
2004-04-13;113;113;110,93;111,13
2004-04-14;109,89;111,08;109,85;110,43
2004-04-15;111,01;112,21;111,01;112,21
2004-04-16;112,4;113,29;112,35;113,19
2004-04-19;113,44;113,6;112,51;112,99
2004-04-20;112,6;112,62;109,76;109,76
2004-04-21;109,51;109,74;109;109,59
2004-04-22;109,25;111,95;109,25;111,92
2004-04-23;111,55;111,55;110,54;111,03
2004-04-26;112,06;112,32;111,32;111,32
2004-04-27;111,4;113,23;111,4;112,71
2004-04-28;111,8;111,8;109,88;109,88
2004-04-29;110,4;110,5;107,51;108,15
2004-04-30;108,85;109,05;107,99;108,38
2004-05-03;108,18;110,25;108,18;110,25
2004-05-04;111;111,67;110,25;111,09
2004-05-05;110,5;111,49;110;111,49
